Tue, 08 Aug 2017 16:48:53 lagouetl.py[line:104] INFO COPY pageno 148, insert count: 103301 current offset: 148000
Tue, 08 Aug 2017 16:49:22 lagouetl.py[line:104] INFO COPY pageno 149, insert count: 103691 current offset: 149000
Tue, 08 Aug 2017 16:49:51 lagouetl.py[line:104] INFO COPY pageno 150, insert count: 104364 current offset: 150000
Tue, 08 Aug 2017 16:50:19 lagouetl.py[line:104] INFO COPY pageno 151, insert count: 105034 current offset: 151000
Tue, 08 Aug 2017 16:50:49 lagouetl.py[line:104] INFO COPY pageno 152, insert count: 105682 current offset: 152000
Tue, 08 Aug 2017 16:51:17 lagouetl.py[line:104] INFO COPY pageno 153, insert count: 106298 current offset: 153000
Tue, 08 Aug 2017 16:51:48 lagouetl.py[line:104] INFO COPY pageno 154, insert count: 106952 current offset: 154000
Tue, 08 Aug 2017 16:52:17 lagouetl.py[line:104] INFO COPY pageno 155, insert count: 107626 current offset: 155000
Tue, 08 Aug 2017 16:52:45 lagouetl.py[line:104] INFO COPY pageno 156, insert count: 108377 current offset: 156000
Tue, 08 Aug 2017 16:53:13 lagouetl.py[line:104] INFO COPY pageno 157, insert count: 109049 current offset: 157000
Tue, 08 Aug 2017 16:53:41 lagouetl.py[line:104] INFO COPY pageno 158, insert count: 109437 current offset: 158000
Tue, 08 Aug 2017 16:54:10 lagouetl.py[line:104] INFO COPY pageno 159, insert count: 109728 current offset: 159000
Tue, 08 Aug 2017 16:54:37 lagouetl.py[line:104] INFO COPY pageno 160, insert count: 109997 current offset: 160000
Tue, 08 Aug 2017 16:55:05 lagouetl.py[line:104] INFO COPY pageno 161, insert count: 110355 current offset: 161000
Tue, 08 Aug 2017 16:55:34 lagouetl.py[line:104] INFO COPY pageno 162, insert count: 110628 current offset: 162000
Tue, 08 Aug 2017 16:56:02 lagouetl.py[line:104] INFO COPY pageno 163, insert count: 110941 current offset: 163000
Tue, 08 Aug 2017 16:56:32 lagouetl.py[line:104] INFO COPY pageno 164, insert count: 111298 current offset: 164000
Tue, 08 Aug 2017 16:56:59 lagouetl.py[line:104] INFO COPY pageno 165, insert count: 111647 current offset: 165000
Tue, 08 Aug 2017 16:57:28 lagouetl.py[line:104] INFO COPY pageno 166, insert count: 111989 current offset: 166000
Tue, 08 Aug 2017 16:57:56 lagouetl.py[line:104] INFO COPY pageno 167, insert count: 112364 current offset: 167000
Tue, 08 Aug 2017 16:58:25 lagouetl.py[line:104] INFO COPY pageno 168, insert count: 112698 current offset: 168000
Tue, 08 Aug 2017 16:58:53 lagouetl.py[line:104] INFO COPY pageno 169, insert count: 112991 current offset: 169000
Tue, 08 Aug 2017 16:59:22 lagouetl.py[line:104] INFO COPY pageno 170, insert count: 113306 current offset: 170000
Tue, 08 Aug 2017 16:59:51 lagouetl.py[line:104] INFO COPY pageno 171, insert count: 113624 current offset: 171000
Tue, 08 Aug 2017 17:00:20 lagouetl.py[line:104] INFO COPY pageno 172, insert count: 113945 current offset: 172000
Tue, 08 Aug 2017 17:00:48 lagouetl.py[line:104] INFO COPY pageno 173, insert count: 114188 current offset: 173000
Tue, 08 Aug 2017 17:01:17 lagouetl.py[line:104] INFO COPY pageno 174, insert count: 114602 current offset: 174000
Tue, 08 Aug 2017 17:01:47 lagouetl.py[line:104] INFO COPY pageno 175, insert count: 115385 current offset: 175000
Tue, 08 Aug 2017 17:02:16 lagouetl.py[line:104] INFO COPY pageno 176, insert count: 116326 current offset: 176000
Tue, 08 Aug 2017 17:02:45 lagouetl.py[line:104] INFO COPY pageno 177, insert count: 116970 current offset: 177000
Tue, 08 Aug 2017 17:03:13 lagouetl.py[line:104] INFO COPY pageno 178, insert count: 117744 current offset: 178000
Tue, 08 Aug 2017 17:03:42 lagouetl.py[line:104] INFO COPY pageno 179, insert count: 117791 current offset: 179000
Tue, 08 Aug 2017 17:04:11 lagouetl.py[line:104] INFO COPY pageno 180, insert count: 117831 current offset: 180000
Tue, 08 Aug 2017 17:04:40 lagouetl.py[line:104] INFO COPY pageno 181, insert count: 117858 current offset: 181000
Tue, 08 Aug 2017 17:05:09 lagouetl.py[line:104] INFO COPY pageno 182, insert count: 117895 current offset: 182000
Tue, 08 Aug 2017 17:05:37 lagouetl.py[line:104] INFO COPY pageno 183, insert count: 117925 current offset: 183000
Tue, 08 Aug 2017 17:06:08 lagouetl.py[line:104] INFO COPY pageno 184, insert count: 117951 current offset: 184000
Tue, 08 Aug 2017 17:06:37 lagouetl.py[line:104] INFO COPY pageno 185, insert count: 117984 current offset: 185000
Tue, 08 Aug 2017 17:07:06 lagouetl.py[line:104] INFO COPY pageno 186, insert count: 118016 current offset: 186000
Tue, 08 Aug 2017 17:07:35 lagouetl.py[line:104] INFO COPY pageno 187, insert count: 118074 current offset: 187000
Tue, 08 Aug 2017 17:08:04 lagouetl.py[line:104] INFO COPY pageno 188, insert count: 118344 current offset: 188000
